frame_no,sequence,index,bytesused,buffer_length,flags_hex,flags_text,v4l2_ts_sec,v4l2_ts_usec,host_dq_ms,host_delta_ms,v4l2_delta_ms
1,0,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269108,583279,337.675,-1.000,-1.000
2,1,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269108,803278,556.945,219.271,219.999
3,2,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269109,3448,757.410,200.465,200.170
4,3,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269109,207308,960.577,203.167,203.860
5,4,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269109,407292,1161.541,200.965,199.984
6,5,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269109,611298,1365.094,203.552,204.006
7,6,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269109,815301,1568.933,203.839,204.003
8,7,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269110,15314,1769.444,200.511,200.013
9,8,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269110,219313,1973.109,203.665,203.999
10,9,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269110,419320,2173.627,200.518,200.007
11,10,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269110,623313,2377.335,203.708,203.993
12,11,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269110,827330,2581.018,203.682,204.017
13,12,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269111,27338,2781.520,200.502,200.008
14,13,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269111,231342,2985.380,203.860,204.004
15,14,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269111,431271,3185.671,200.291,199.929
16,15,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269111,635410,3388.970,203.299,204.139
17,16,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269111,839366,3592.950,203.980,203.956
18,17,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269112,39373,3793.431,200.481,200.007
19,18,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269112,243378,3997.213,203.782,204.005
20,19,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269112,443312,4197.758,200.545,199.934
21,20,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269112,647389,4401.428,203.670,204.077
22,21,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269112,851394,4605.061,203.633,204.005
23,22,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269113,51423,4805.573,200.512,200.029
24,23,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269113,255407,5009.248,203.676,203.984
25,24,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269113,455414,5209.747,200.499,200.007
26,25,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269113,659327,5413.424,203.677,203.913
27,26,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269113,863417,5616.995,203.571,204.090
28,27,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269114,63431,5817.525,200.530,200.014
29,28,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269114,267429,6021.214,203.689,203.998
30,29,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269114,467442,6221.734,200.520,200.013
31,30,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269114,671447,6425.377,203.644,204.005
32,31,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269114,875452,6629.067,203.690,204.005
33,32,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269115,75460,6829.523,200.456,200.008
34,33,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269115,279459,7033.199,203.676,203.999
35,34,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269115,479467,7233.763,200.563,200.008
36,35,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269115,683477,7437.198,203.435,204.010
37,36,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269115,887481,7641.225,204.028,204.004
38,37,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269116,87489,7841.745,200.520,200.008
39,38,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269116,291524,8045.320,203.575,204.035
40,39,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269116,491501,8245.794,200.474,199.977
41,40,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269116,695501,8449.557,203.763,204.000
42,41,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269116,899511,8653.195,203.638,204.010
43,42,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269117,99518,8853.741,200.546,200.007
44,43,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269117,303524,9057.412,203.671,204.006
45,44,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269117,503527,9257.884,200.472,200.003
46,45,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269117,707451,9461.614,203.730,203.924
47,46,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269117,911541,9665.255,203.641,204.090
48,47,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269118,111557,9865.790,200.535,200.016
49,48,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269118,315552,10069.454,203.664,203.995
50,49,1,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269118,515553,10269.956,200.501,200.001
51,50,2,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269118,719558,10473.367,203.412,204.005
52,51,3,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269118,923515,10677.289,203.921,203.957
53,52,0,614400,614400,0x00012001,"0x00012001|TS_MONOTONIC|SRC_SOE",269119,123576,10877.836,200.547,200.061
