[532060.161491] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8448, bssidx: 0
[532123.164253] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8449, bssidx: 0
[532186.167153] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8450, bssidx: 0
[532249.163069] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8451, bssidx: 0
[532312.173109] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8452, bssidx: 0
[532375.176224] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8453, bssidx: 0
[532438.132280] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8454, bssidx: 0
[532501.126325] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8455, bssidx: 0
[532564.155550] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8456, bssidx: 0
[532627.183574] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8457, bssidx: 0
[532690.143214] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8458, bssidx: 0
[532753.183987] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8459, bssidx: 0
[532816.147545] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8460, bssidx: 0
[532879.172947] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8461, bssidx: 0
[532942.182618] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8462, bssidx: 0
[533005.181693] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8463, bssidx: 0
[533068.124489] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8464, bssidx: 0
[533131.129102] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8465, bssidx: 0
[533194.179297] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8466, bssidx: 0
[533257.179219] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8467, bssidx: 0
[533320.171942] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8468, bssidx: 0
[533383.176354] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8469, bssidx: 0
[533446.168493] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8470, bssidx: 0
[533509.172849] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8471, bssidx: 0
[533572.171315] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8472, bssidx: 0
[533635.120621] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8473, bssidx: 0
[533698.114776] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8474, bssidx: 0
[533761.142415] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8475, bssidx: 0
[533824.140259] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8476, bssidx: 0
[533887.127801] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8477, bssidx: 0
[533950.162171] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8478, bssidx: 0
[534013.121935] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8479, bssidx: 0
[534076.159580] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8480, bssidx: 0
[534139.117081] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8481, bssidx: 0
[534202.154973] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8482, bssidx: 0
[534265.153824] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8483, bssidx: 0
[534328.106993] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8484, bssidx: 0
[534391.151866] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8485, bssidx: 0
[534454.149928] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8486, bssidx: 0
[534517.148660] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8487, bssidx: 0
[534580.147219] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8488, bssidx: 0
[534643.100608] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8489, bssidx: 0
[534706.103988] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8490, bssidx: 0
[534769.140984] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8491, bssidx: 0
[534832.140623] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8492, bssidx: 0
[534895.080491] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8493, bssidx: 0
[534958.137379] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8494, bssidx: 0
[535021.091601] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8495, bssidx: 0
[535084.133957] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8496, bssidx: 0
[535147.081166] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8497, bssidx: 0
[535210.086674] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8498, bssidx: 0
[535273.126803] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8499, bssidx: 0
[535336.073728] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8500, bssidx: 0
[535399.126852] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8501, bssidx: 0
[535462.123157] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8502, bssidx: 0
[535525.091026] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8503, bssidx: 0
[535588.118109] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8504, bssidx: 0
[535651.116230] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8505, bssidx: 0
[535714.084689] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8506, bssidx: 0
[535777.112448] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8507, bssidx: 0
[535840.097438] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8508, bssidx: 0
[535903.110274] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8509, bssidx: 0
[535966.063916] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8510, bssidx: 0
[536029.085294] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8511, bssidx: 0
[536092.103634] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8512, bssidx: 0
[536155.103205] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8513, bssidx: 0
[536218.077347] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8514, bssidx: 0
[536281.095895] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8515, bssidx: 0
[536344.062964] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8516, bssidx: 0
[536407.045858] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8517, bssidx: 0
[536470.074239] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8518, bssidx: 0
[536533.087789] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8519, bssidx: 0
[536596.085070] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8520, bssidx: 0
[536659.084954] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8521, bssidx: 0
[536722.041160] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8522, bssidx: 0
[536785.059166] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8523, bssidx: 0
[536848.053803] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8524, bssidx: 0
[536911.075110] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8525, bssidx: 0
[536974.073469] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8526, bssidx: 0
[537037.012436] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8527, bssidx: 0
[537100.057175] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8528, bssidx: 0
[537163.067243] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8529, bssidx: 0
[537226.050746] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8530, bssidx: 0
[537289.037353] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8531, bssidx: 0
[537352.010202] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8532, bssidx: 0
[537415.060604] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8533, bssidx: 0
[537478.058568] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8534, bssidx: 0
[537541.055870] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8535, bssidx: 0
[537604.002974] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8536, bssidx: 0
[537667.051349] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8537, bssidx: 0
[537729.998876] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8538, bssidx: 0
[537793.013427] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8539, bssidx: 0
[537855.987772] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8540, bssidx: 0
[537918.999184] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8541, bssidx: 0
[537982.010415] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8542, bssidx: 0
[538045.040375] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8543, bssidx: 0
[538107.987101] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8544, bssidx: 0
[538171.036634] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8545, bssidx: 0
[538234.013134] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8546, bssidx: 0
[538297.019148] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8547, bssidx: 0
[538359.976419] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8548, bssidx: 0
[538422.963904] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8549, bssidx: 0
[538486.012930] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8550, bssidx: 0
